Course type,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Higher education,382,4926,22,988,6384,15537,28239
Postgraduate teaching apprenticeship,14,137,0,5,607,1457,2220
School-centred initial teacher training (SCITT),3,1863,20,220,1035,3969,7110
School Direct (fee-paying),51,2737,18,323,2880,9856,15865
School Direct (salaried),8,164,1,4,833,2260,3270
