Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Primary,240,4283,23,634,3950,12448,21578
Primary with science,0,4,0,0,71,101,176
Primary with English,1,19,0,1,71,132,224
Primary with physical education,3,134,0,13,96,308,554
Primary with mathematics,3,60,0,10,231,416,720
Primary with modern languages,0,3,0,1,18,35,57
Primary with geography and history,0,10,0,1,11,24,46
