Status,First application,Apply again,Total
Recruited,431,27,458
Conditions pending,9174,653,9827
Deferred,54,7,61
Received an offer but not responded,1064,100,1164
Awaiting provider decisions,4546,944,5490
Declined an offer,217,11,228
Withdrew an application,499,65,564
Application rejected,3063,353,3416
