Area,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Channel Islands,0,7,0,3,3,1,14
East Midlands,19,816,10,84,295,205,1429
East of England,32,922,13,86,330,275,1658
Isle of Man,1,3,0,0,2,0,6
London,47,1182,8,182,842,624,2885
No region,0,0,0,0,0,0,0
North East,18,441,1,38,125,143,766
North West,52,1266,5,139,434,388,2284
Northern Ireland,23,302,1,48,49,51,474
Scotland,1,28,0,6,24,12,71
South East,76,1204,5,111,536,362,2294
South West,66,888,2,87,291,209,1543
Wales,14,166,0,25,66,50,321
West Midlands,53,1022,4,144,373,269,1865
Yorkshire and the Humber,3,1013,11,87,342,271,1727
European Economic Area,7,133,0,36,119,52,347
Rest of the World,46,434,1,88,1659,1296,3524
