Area,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
East of England,28,898,12,92,742,2374,4146
East Midlands,35,618,8,122,627,2388,3798
London,47,1424,5,285,3476,7849,13086
North East,17,508,1,81,442,1687,2736
North West,71,1812,7,311,1382,4881,8464
South East,96,1279,9,157,1449,3850,6840
South West,107,906,2,135,879,2717,4746
West Midlands,57,1062,3,202,1488,3575,6387
Yorkshire and The Humber,0,1320,14,155,1228,3756,6473
