Course type,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Higher education,502,6126,41,955,6469,20626,34719
Postgraduate teaching apprenticeship,15,213,0,15,625,1986,2854
School-centred initial teacher training (SCITT),3,2283,35,213,1045,5114,8693
School Direct (fee-paying),79,3309,23,288,2974,12735,19408
School Direct (salaried),11,222,1,17,830,2962,4043
