Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Primary,312,5175,46,610,3836,15753,25732
Primary with science,0,7,0,2,55,170,234
Primary with English,1,23,0,7,47,198,276
Primary with physical education,7,148,1,8,71,384,619
Primary with mathematics,3,75,1,12,164,621,876
Primary with modern languages,0,5,1,4,27,42,79
Primary with geography and history,0,11,0,2,11,34,58
