Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Art and design,15,217,1,39,219,708,1199
Biology,12,359,3,57,552,1717,2700
Business studies,4,110,3,11,195,825,1148
Chemistry,20,340,2,44,521,1568,2495
Classics,2,26,1,2,44,76,151
Computing,8,156,1,21,315,882,1383
Design and technology,4,238,3,20,207,557,1029
Drama,5,145,4,17,132,418,721
English,42,961,5,112,992,3442,5554
Geography,23,389,1,52,287,1107,1859
History,31,495,4,67,331,1392,2320
Mathematics,32,793,5,114,1395,4108,6447
Modern foreign languages,7,486,5,87,703,1704,2992
Music,4,126,5,11,80,356,582
Other,5,225,1,29,195,1060,1515
Physical education,43,1082,3,85,407,2975,4595
Physics,11,241,2,35,739,1719,2747
Religious education,0,137,2,19,112,486,756
