Status,First application,Apply again,Total
Recruited,571,39,610
Conditions pending,11226,927,12153
Deferred,88,12,100
Received an offer but not responded,1004,124,1128
Awaiting provider decisions,4019,1074,5093
Declined an offer,328,21,349
Withdrew an application,659,90,749
Application rejected,4314,667,4981
