Area,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Channel Islands,0,0,0,1,2,0,3
East Midlands,2,211,0,91,313,47,664
East of England,2,273,5,128,382,54,844
Isle of Man,0,2,0,0,2,0,4
London,5,168,5,143,902,92,1315
No region,0,0,0,0,0,0,0
North East,0,153,0,49,168,27,397
North West,14,492,0,129,364,89,1088
Northern Ireland,5,94,1,68,86,10,264
Scotland,0,8,0,5,12,0,25
South East,25,317,0,150,489,80,1061
South West,21,256,1,106,321,42,747
Wales,4,46,0,21,59,9,139
West Midlands,7,287,0,135,388,48,865
Yorkshire and the Humber,2,327,2,109,312,60,812
European Economic Area,2,33,0,17,61,7,120
Rest of the World,9,100,1,47,880,172,1209
