Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Primary,46,1298,5,736,4402,3486,9973
Primary with physical education,1,53,0,40,115,111,320
Primary with science,0,1,0,0,27,9,37
Primary with mathematics,1,19,0,8,107,109,244
Primary with English,0,7,0,1,44,23,75
Primary with geography and history,0,2,0,0,13,6,21
Primary with modern languages,0,3,0,0,13,6,22
