Area,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
East of England,1,274,5,157,802,739,1978
East Midlands,6,133,0,108,720,611,1578
London,5,180,5,165,3259,1573,5187
North East,0,177,0,78,490,499,1244
North West,15,684,1,319,1242,1549,3810
South East,32,322,0,208,1322,965,2849
South West,31,272,1,153,918,665,2040
West Midlands,7,295,0,203,1246,877,2628
Yorkshire and The Humber,1,430,3,224,1057,1118,2833
