Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Art and design,18,253,1,28,285,848,1433
Biology,20,411,4,52,730,2103,3320
Business studies,5,120,3,14,237,975,1354
Chemistry,22,399,2,38,651,1893,3005
Classics,3,33,1,11,26,96,170
Computing,11,185,1,35,447,1090,1769
Design and technology,7,269,4,21,269,698,1268
Drama,9,161,6,20,175,495,866
English,53,1094,13,113,1301,4102,6676
Geography,29,436,1,54,464,1322,2306
History,36,544,7,52,380,1622,2641
Mathematics,45,931,9,124,1754,5057,7920
Modern foreign languages,14,590,8,91,885,2111,3699
Music,4,137,5,10,108,401,665
Other,7,252,2,19,244,1206,1730
Physical education,52,1137,4,56,473,3266,4988
Physics,13,296,2,50,1087,2222,3670
Religious education,2,163,3,11,122,566,867
