Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Primary,390,5757,66,525,4660,18201,29599
Primary with science,0,13,0,0,38,226,277
Primary with English,1,27,0,4,48,255,335
Primary with mathematics,4,80,1,8,236,740,1069
Primary with physical education,11,155,1,8,57,438,670
Primary with modern languages,0,7,1,4,30,51,93
Primary with geography and history,0,13,0,0,12,44,69
