Course type,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Higher education,646,6880,61,924,7840,24836,41187
Postgraduate teaching apprenticeship,16,280,0,18,791,2341,3446
School-centred initial teacher training (SCITT),4,2541,50,187,1544,5912,10238
School Direct (fee-paying),104,3700,34,226,3937,14827,22828
School Direct (salaried),12,270,1,10,1009,3409,4711
