Status,First application,Apply again,Total
Recruited,727,55,782
Conditions pending,12506,1165,13671
Deferred,129,17,146
Received an offer but not responded,1212,153,1365
Awaiting provider decisions,12156,2965,15121
Declined an offer,6300,248,6548
Withdrew an application,15773,2643,18416
Application rejected,21596,4765,26361
