Area,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
East of England,58,1389,32,102,877,4342,6800
East Midlands,71,969,28,93,763,4246,6170
London,183,2550,18,375,4631,15830,23587
North East,29,798,6,59,603,2984,4479
North West,141,2773,39,196,1353,8781,13283
South East,178,2168,40,214,1664,7493,11757
South West,246,1247,15,102,922,5015,7547
West Midlands,132,1692,14,180,1868,6836,10722
Yorkshire and The Humber,64,2013,39,166,1355,7251,10888
