Course type,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Higher education,876,7794,93,929,7256,30336,47284
Postgraduate teaching apprenticeship,17,391,1,8,826,2804,4047
School-centred initial teacher training (SCITT),12,2957,81,234,1337,7332,11953
School Direct (fee-paying),181,4141,54,303,3687,18295,26661
School Direct (salaried),16,342,2,16,972,4097,5445
