Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Primary,529,6485,107,544,4184,21543,33392
Primary with mathematics,5,93,1,8,221,902,1230
Primary with science,2,13,0,0,56,259,330
Primary with English,1,30,0,7,42,303,383
Primary with physical education,13,167,1,3,46,489,719
Primary with modern languages,0,12,1,3,26,70,112
Primary with geography and history,1,13,0,1,8,55,78
