Area,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Channel Islands,0,11,0,1,2,1,15
East Midlands,60,1266,26,75,279,416,2122
East of England,76,1442,31,88,367,513,2517
Isle of Man,1,6,0,0,0,1,8
London,145,2079,28,224,1103,1133,4712
No region,0,0,0,0,0,0,0
North East,29,670,6,33,167,259,1164
North West,106,2021,29,101,381,705,3343
Northern Ireland,38,365,8,9,24,106,550
Scotland,6,42,0,6,24,35,113
South East,148,1977,30,133,546,751,3585
South West,166,1272,9,71,268,421,2207
Wales,23,244,1,15,50,123,456
West Midlands,133,1634,17,113,433,498,2828
Yorkshire and the Humber,42,1548,29,72,368,536,2595
European Economic Area,21,250,6,21,81,106,485
Rest of the World,108,798,11,123,1750,2991,5781
