Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Art and design,23,300,2,32,256,1045,1658
Biology,29,499,7,63,733,2721,4052
Business studies,11,138,4,14,233,1165,1565
Chemistry,31,462,6,52,755,2444,3750
Classics,3,38,2,6,20,115,184
Computing,15,235,1,31,414,1415,2111
Design and technology,18,315,6,27,233,910,1509
Drama,15,190,6,16,117,619,963
English,82,1306,21,145,1167,5153,7874
Geography,41,500,3,54,433,1689,2720
History,44,603,9,65,334,1922,2977
Mathematics,72,1092,17,163,1738,6412,9494
Modern foreign languages,22,705,9,83,831,2751,4401
Music,5,150,6,13,91,484,749
Other,10,277,4,20,212,1380,1903
Physical education,74,1204,5,34,374,3662,5353
Physics,24,373,5,67,1063,3134,4666
Religious education,2,183,4,19,118,676,1002
