Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Primary,176,3281,12,660,3855,9446,17430
Primary with science,0,2,0,0,49,75,126
Primary with English,0,17,0,3,56,92,168
Primary with physical education,3,123,0,7,103,247,483
Primary with mathematics,3,40,0,11,195,290,539
Primary with modern languages,0,3,0,0,13,26,42
Primary with geography and history,0,10,0,0,11,15,36
