Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Art and design,7,138,0,21,189,425,780
Biology,6,202,1,42,475,874,1600
Business studies,3,57,3,12,225,438,738
Chemistry,10,173,1,51,466,738,1439
Classics,0,14,1,7,26,45,93
Computing,2,68,0,16,258,425,769
Design and technology,3,123,1,15,143,285,570
Drama,1,80,0,14,152,205,452
English,21,536,3,121,941,1835,3457
Geography,9,217,0,55,286,603,1170
History,19,318,0,80,366,845,1628
Mathematics,12,459,2,79,1039,2143,3734
Modern foreign languages,5,254,3,60,539,770,1631
Music,5,73,2,17,106,191,394
Other,3,141,0,23,266,615,1048
Physical education,20,826,2,104,604,2096,3652
Physics,6,108,0,39,514,735,1402
Religious education,0,82,2,11,128,283,506
