Course type,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Higher education,284,3653,15,933,6087,11091,22063
Postgraduate teaching apprenticeship,9,83,0,4,478,1103,1677
School-centred initial teacher training (SCITT),2,1453,11,204,1092,3038,5800
School Direct (fee-paying),29,2137,7,318,2877,7393,12761
School Direct (salaried),3,124,0,11,792,1709,2639
