Area,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Channel Islands,0,6,0,1,5,0,12
East Midlands,15,603,3,71,301,151,1144
East of England,17,728,7,80,341,199,1372
Isle of Man,1,3,0,0,1,0,5
London,24,828,7,217,813,434,2323
No region,0,0,0,0,0,0,0
North East,19,345,1,24,151,97,637
North West,39,1004,2,118,399,279,1841
Northern Ireland,15,246,1,46,68,33,409
Scotland,1,24,0,3,21,6,55
South East,53,916,1,96,502,271,1839
South West,49,679,1,99,299,155,1282
Wales,12,114,0,27,81,33,267
West Midlands,42,780,4,116,399,189,1530
Yorkshire and the Humber,4,777,5,95,297,206,1384
European Economic Area,7,95,0,34,70,30,236
Rest of the World,29,302,1,78,1400,866,2676
