Course type,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Higher education,181,2735,8,1172,4231,7979,16306
Postgraduate teaching apprenticeship,1,64,0,4,391,803,1263
School-centred initial teacher training (SCITT),2,1110,9,257,826,2201,4405
School Direct (fee-paying),12,1672,4,329,2278,5314,9609
School Direct (salaried),0,99,0,9,692,1305,2105
