Area,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Channel Islands,0,1,0,3,3,0,7
East Midlands,7,449,1,99,227,108,891
East of England,8,567,5,100,246,147,1073
Isle of Man,1,3,0,0,0,0,4
London,10,567,7,241,635,320,1780
No region,0,0,0,0,0,0,0
North East,5,292,1,27,122,71,518
North West,26,800,2,120,278,199,1425
Northern Ireland,13,196,1,60,37,26,333
Scotland,0,17,0,4,9,5,35
South East,36,685,0,145,365,207,1438
South West,37,506,1,118,245,107,1014
Wales,7,84,0,26,50,23,190
West Midlands,17,607,0,128,297,141,1190
Yorkshire and the Humber,4,599,2,105,217,154,1081
European Economic Area,3,74,0,20,62,18,177
Rest of the World,22,233,1,84,834,567,1741
