Area,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
East of England,7,558,5,122,492,1385,2569
East Midlands,13,319,1,119,532,1242,2226
London,8,671,6,386,2493,3854,7418
North East,6,326,1,65,345,959,1702
North West,31,1142,3,317,969,2710,5172
South East,49,721,0,205,992,2060,4027
South West,63,518,2,170,762,1375,2890
West Midlands,18,623,0,200,1032,1914,3787
Yorkshire and The Humber,1,802,3,187,801,2103,3897
