Subject,Recruited,Conditions pending,Deferred,Received an offer,Awaiting provider decisions,Unsuccessful,Total
Primary,100,2579,8,765,3076,7001,13529
Primary with English,0,12,0,3,33,54,102
Primary with science,0,1,0,2,34,33,70
Primary with physical education,2,102,0,24,42,205,375
Primary with mathematics,2,31,0,10,101,214,358
Primary with modern languages,0,3,0,1,13,19,36
Primary with geography and history,0,8,0,1,8,12,29
